;2;3;5;7;11;13;17;19;23;29;31;37;41;43;47;53;59;61;67;71;73;79;83;89;97
38; (19, 0); (12, 2); (7, 3); (5, 3); (3, 5); (2, 12); (2, 4); (2, 0); (1, 15); (1, 9); (1, 7); (1, 1); ; ; ; ; ; ; ; ; ; ; ; ; 
39; (19, 1); (13, 0); (7, 4); (5, 4); (3, 6); (3, 0); (2, 5); (2, 1); (1, 16); (1, 10); (1, 8); (1, 2); ; ; ; ; ; ; ; ; ; ; ; ; 
40; (20, 0); (13, 1); (8, 0); (5, 5); (3, 7); (3, 1); (2, 6); (2, 2); (1, 17); (1, 11); (1, 9); (1, 3); ; ; ; ; ; ; ; ; ; ; ; ; 
41; (20, 1); (13, 2); (8, 1); (5, 6); (3, 8); (3, 2); (2, 7); (2, 3); (1, 18); (1, 12); (1, 10); (1, 4); (1, 0); ; ; ; ; ; ; ; ; ; ; ; 
42; (21, 0); (14, 0); (8, 2); (6, 0); (3, 9); (3, 3); (2, 8); (2, 4); (1, 19); (1, 13); (1, 11); (1, 5); (1, 1); ; ; ; ; ; ; ; ; ; ; ; 
43; (21, 1); (14, 1); (8, 3); (6, 1); (3, 10); (3, 4); (2, 9); (2, 5); (1, 20); (1, 14); (1, 12); (1, 6); (1, 2); (1, 0); ; ; ; ; ; ; ; ; ; ; 
44; (22, 0); (14, 2); (8, 4); (6, 2); (4, 0); (3, 5); (2, 10); (2, 6); (1, 21); (1, 15); (1, 13); (1, 7); (1, 3); (1, 1); ; ; ; ; ; ; ; ; ; ; 
45; (22, 1); (15, 0); (9, 0); (6, 3); (4, 1); (3, 6); (2, 11); (2, 7); (1, 22); (1, 16); (1, 14); (1, 8); (1, 4); (1, 2); ; ; ; ; ; ; ; ; ; ; 
46; (23, 0); (15, 1); (9, 1); (6, 4); (4, 2); (3, 7); (2, 12); (2, 8); (2, 0); (1, 17); (1, 15); (1, 9); (1, 5); (1, 3); ; ; ; ; ; ; ; ; ; ; 
47; (23, 1); (15, 2); (9, 2); (6, 5); (4, 3); (3, 8); (2, 13); (2, 9); (2, 1); (1, 18); (1, 16); (1, 10); (1, 6); (1, 4); (1, 0); ; ; ; ; ; ; ; ; ; 
48; (24, 0); (16, 0); (9, 3); (6, 6); (4, 4); (3, 9); (2, 14); (2, 10); (2, 2); (1, 19); (1, 17); (1, 11); (1, 7); (1, 5); (1, 1); ; ; ; ; ; ; ; ; ; 
49; (24, 1); (16, 1); (9, 4); (7, 0); (4, 5); (3, 10); (2, 15); (2, 11); (2, 3); (1, 20); (1, 18); (1, 12); (1, 8); (1, 6); (1, 2); ; ; ; ; ; ; ; ; ; 
50; (25, 0); (16, 2); (10, 0); (7, 1); (4, 6); (3, 11); (2, 16); (2, 12); (2, 4); (1, 21); (1, 19); (1, 13); (1, 9); (1, 7); (1, 3); ; ; ; ; ; ; ; ; ; 
51; (25, 1); (17, 0); (10, 1); (7, 2); (4, 7); (3, 12); (3, 0); (2, 13); (2, 5); (1, 22); (1, 20); (1, 14); (1, 10); (1, 8); (1, 4); ; ; ; ; ; ; ; ; ; 
52; (26, 0); (17, 1); (10, 2); (7, 3); (4, 8); (4, 0); (3, 1); (2, 14); (2, 6); (1, 23); (1, 21); (1, 15); (1, 11); (1, 9); (1, 5); ; ; ; ; ; ; ; ; ; 
53; (26, 1); (17, 2); (10, 3); (7, 4); (4, 9); (4, 1); (3, 2); (2, 15); (2, 7); (1, 24); (1, 22); (1, 16); (1, 12); (1, 10); (1, 6); (1, 0); ; ; ; ; ; ; ; ; 
54; (27, 0); (18, 0); (10, 4); (7, 5); (4, 10); (4, 2); (3, 3); (2, 16); (2, 8); (1, 25); (1, 23); (1, 17); (1, 13); (1, 11); (1, 7); (1, 1); ; ; ; ; ; ; ; ; 
55; (27, 1); (18, 1); (11, 0); (7, 6); (5, 0); (4, 3); (3, 4); (2, 17); (2, 9); (1, 26); (1, 24); (1, 18); (1, 14); (1, 12); (1, 8); (1, 2); ; ; ; ; ; ; ; ; 
56; (28, 0); (18, 2); (11, 1); (8, 0); (5, 1); (4, 4); (3, 5); (2, 18); (2, 10); (1, 27); (1, 25); (1, 19); (1, 15); (1, 13); (1, 9); (1, 3); ; ; ; ; ; ; ; ; 
57; (28, 1); (19, 0); (11, 2); (8, 1); (5, 2); (4, 5); (3, 6); (3, 0); (2, 11); (1, 28); (1, 26); (1, 20); (1, 16); (1, 14); (1, 10); (1, 4); ; ; ; ; ; ; ; ; 
58; (29, 0); (19, 1); (11, 3); (8, 2); (5, 3); (4, 6); (3, 7); (3, 1); (2, 12); (2, 0); (1, 27); (1, 21); (1, 17); (1, 15); (1, 11); (1, 5); ; ; ; ; ; ; ; ; 
59; (29, 1); (19, 2); (11, 4); (8, 3); (5, 4); (4, 7); (3, 8); (3, 2); (2, 13); (2, 1); (1, 28); (1, 22); (1, 18); (1, 16); (1, 12); (1, 6); (1, 0); ; ; ; ; ; ; ; 
60; (30, 0); (20, 0); (12, 0); (8, 4); (5, 5); (4, 8); (3, 9); (3, 3); (2, 14); (2, 2); (1, 29); (1, 23); (1, 19); (1, 17); (1, 13); (1, 7); (1, 1); ; ; ; ; ; ; ; 
61; (30, 1); (20, 1); (12, 1); (8, 5); (5, 6); (4, 9); (3, 10); (3, 4); (2, 15); (2, 3); (1, 30); (1, 24); (1, 20); (1, 18); (1, 14); (1, 8); (1, 2); (1, 0); ; ; ; ; ; ; 
62; (31, 0); (20, 2); (12, 2); (8, 6); (5, 7); (4, 10); (3, 11); (3, 5); (2, 16); (2, 4); (2, 0); (1, 25); (1, 21); (1, 19); (1, 15); (1, 9); (1, 3); (1, 1); ; ; ; ; ; ; 
63; (31, 1); (21, 0); (12, 3); (9, 0); (5, 8); (4, 11); (3, 12); (3, 6); (2, 17); (2, 5); (2, 1); (1, 26); (1, 22); (1, 20); (1, 16); (1, 10); (1, 4); (1, 2); ; ; ; ; ; ; 
64; (32, 0); (21, 1); (12, 4); (9, 1); (5, 9); (4, 12); (3, 13); (3, 7); (2, 18); (2, 6); (2, 2); (1, 27); (1, 23); (1, 21); (1, 17); (1, 11); (1, 5); (1, 3); ; ; ; ; ; ; 
65; (32, 1); (21, 2); (13, 0); (9, 2); (5, 10); (5, 0); (3, 14); (3, 8); (2, 19); (2, 7); (2, 3); (1, 28); (1, 24); (1, 22); (1, 18); (1, 12); (1, 6); (1, 4); ; ; ; ; ; ; 
66; (33, 0); (22, 0); (13, 1); (9, 3); (6, 0); (5, 1); (3, 15); (3, 9); (2, 20); (2, 8); (2, 4); (1, 29); (1, 25); (1, 23); (1, 19); (1, 13); (1, 7); (1, 5); ; ; ; ; ; ; 
